DISTNAME,DPETECOP,DD2AS,DD2BS,DD3S,DD1S,DDALLS,D_RATING,DD1G,DD2AG,DD2BG,DD3G
CAYUGA ISD,42.6,84,92,96,93,94,A,A,B,A,A
ELKHART ISD,58.1,89,91,85,92,90,A,A,B,A,B
FRANKSTON ISD,53.7,73,91,84,91,89,B,A,C,A,B
NECHES ISD,47.8,84,93,86,93,91,A,A,B,A,B
PALESTINE ISD,74.9,80,91,79,86,87,B,B,B,A,C
WESTWOOD ISD,61.5,69,85,73,83,81,B,B,D,B,C
SLOCUM ISD,45.8,80,92,87,93,91,A,A,B,A,B
ANDREWS ISD,41,70,73,74,81,79,C,B,C,C,C
PINEYWOODS COMMUNITY ACADEMY,51,84,91,85,92,90,A,A,B,A,B
HUDSON ISD,54.4,87,93,87,89,89,B,B,B,A,B
LUFKIN ISD,77.2,80,92,83,85,89,B,B,B,A,B
HUNTINGTON ISD,56,84,90,87,87,89,B,B,B,A,B
DIBOLL ISD,78.9,79,91,78,87,87,B,B,C,A,C
ZAVALLA ISD,67.5,69,90,73,86,85,B,B,D,A,C
CENTRAL ISD,59,85,89,88,88,89,B,B,B,B,B
ARANSAS COUNTY ISD,67.2,76,86,79,81,84,B,B,C,B,C
ARCHER CITY ISD,53.5,87,94,93,95,94,A,A,B,A,A
HOLLIDAY ISD,20.9,87,82,87,94,92,A,A,B,B,B
WINDTHORST ISD,40,85,91,96,94,95,A,A,B,A,A
CLAUDE ISD,40.8,91,91,87,93,91,A,A,A,A,B
CHARLOTTE ISD,74,59,89,82,86,87,B,B,F,B,B
JOURDANTON ISD,54,80,90,80,87,86,B,B,B,A,B
LYTLE ISD,74.1,65,81,70,75,78,C,C,D,B,C
PLEASANTON ISD,62.1,59,89,75,84,85,B,B,F,B,C
POTEET ISD,79.4,65,90,77,81,86,B,B,D,A,C
BELLVILLE ISD,49.5,80,83,81,87,85,B,B,B,B,B
SEALY ISD,59.5,79,81,70,82,78,C,B,C,B,C
BRAZOS ISD,64.1,84,91,89,89,89,B,B,B,A,B
MULESHOE ISD,86.1,65,93,73,85,84,B,B,D,A,C
MEDINA ISD,61.8,75,80,79,82,81,B,B,C,B,C
BANDERA ISD,53.5,60,87,78,84,84,B,B,D,B,C
BASTROP ISD,70.5,59,84,72,81,80,B,B,F,B,C
ELGIN ISD,77.3,59,87,71,79,82,B,C,F,B,C
SMITHVILLE ISD,58.9,70,81,77,81,80,B,B,C,B,C
MCDADE ISD,61,76,85,76,81,82,B,B,C,B,C
SEYMOUR ISD,58.1,85,91,95,92,93,A,A,B,A,A
ST MARY'S ACADEMY CHARTER SCHOOL,82.6,65,85,73,77,81,B,C,D,B,C
BEEVILLE ISD,84.5,69,79,73,74,77,C,C,D,C,C
PAWNEE ISD,84.9,69,86,78,78,84,B,C,D,B,C
PETTUS ISD,74.8,79,79,47,70,69,D,C,C,C,F
SKIDMORE-TYNAN ISD,64.5,89,92,93,91,92,A,A,B,A,A
RICHARD MILBURN ALTER HIGH SCHOOL,68.3,48,.,62,74,72,C,C,F,Not Rated,D
PRIORITY CHARTER SCHOOLS,57.7,84,91,80,87,86,B,B,B,A,B
ORENDA CHARTER SCHOOL,15.4,82,71,87,90,89,B,A,B,C,B
ACADEMY ISD,44.5,69,80,84,85,85,B,B,D,B,B
BARTLETT ISD,83.9,63,83,71,81,79,C,B,D,B,C
BELTON ISD,45.5,70,85,86,89,88,B,B,C,B,B
HOLLAND ISD,48.9,85,93,93,94,94,A,A,B,A,A
KILLEEN ISD,61.6,70,90,80,81,86,B,B,C,A,B
ROGERS ISD,51.7,87,90,89,90,90,A,A,B,A,B
SALADO ISD,27.5,80,80,84,91,89,B,A,B,B,B
TEMPLE ISD,72,70,85,73,76,81,B,C,C,B,C
TROY ISD,51.2,85,92,93,91,92,A,A,B,A,A
POR VIDA ACADEMY,86,59,.,30,79,66,D,C,F,Not Rated,F
GEORGE GERVIN ACADEMY,100,84,94,85,88,91,A,B,B,A,B
NEW FRONTIERS PUBLIC SCHOOLS INC,88.4,79,93,78,85,89,B,B,C,A,C
SCHOOL OF EXCELLENCE IN EDUCATION,92.3,73,82,76,78,80,B,C,C,B,C
SOUTHWEST PREPARATORY SCHOOL,82.6,58,60,62,64,63,D,D,F,D,D
INSPIRE ACADEMIES,61.3,70,77,75,75,76,C,C,C,C,C
BEXAR COUNTY ACADEMY,94,59,62,62,58,62,D,F,F,D,D
POSITIVE SOLUTIONS CHARTER SCHOOL,83.2,68,.,30,74,64,D,C,D,Not Rated,F
HERITAGE ACADEMY,67.2,91,.,85,89,89,B,B,A,Not Rated,B
JUBILEE ACADEMIES,70.8,58,83,71,80,79,C,B,F,B,C
LIGHTHOUSE CHARTER SCHOOL,88.3,84,75,60,62,77,C,D,B,C,D
SCHOOL OF SCIENCE AND TECHNOLOGY,51.8,73,92,89,89,89,B,B,C,A,B
HARMONY SCIENCE ACAD (SAN ANTONIO),81.4,73,94,87,89,92,A,B,C,A,B
BROOKS ACADEMIES OF TEXAS,71.1,56,80,75,76,79,C,C,F,B,C
SCHOOL OF SCIENCE AND TECHNOLOGY D,64.7,79,92,96,90,93,A,A,C,A,A
HENRY FORD ACADEMY ALAMEDA SCHOOL,52.8,83,70,72,75,80,B,C,B,C,C
BASIS TEXAS,5.5,90,93,98,98,98,A,A,A,A,A
GREAT HEARTS TEXAS,17.9,84,86,89,89,89,B,B,B,B,B
ELEANOR KOLITZ HEBREW LANGUAGE ACA,12.5,83,72,100,91,94,A,A,B,C,A
COMPASS ROSE ACADEMY,86,79,86,80,75,84,B,C,C,B,B
ALAMO HEIGHTS ISD,19.7,85,80,88,92,91,A,A,B,B,B
HARLANDALE ISD,88,76,90,76,84,86,B,B,C,A,C
EDGEWOOD ISD,94.7,57,81,70,69,78,C,D,F,B,C
RANDOLPH FIELD ISD,7.4,89,81,100,95,97,A,A,B,B,A
SAN ANTONIO ISD,90.4,70,87,73,73,83,B,C,C,B,C
SOUTH SAN ANTONIO ISD,90.9,69,80,71,69,77,C,D,D,B,C
SOMERSET ISD,83.5,65,91,77,83,87,B,B,D,A,C
NORTH EAST ISD,48.4,80,89,89,86,89,B,B,B,B,B
EAST CENTRAL ISD,67.9,58,78,73,72,77,C,C,F,C,C
SOUTHWEST ISD,85.1,65,83,81,77,82,B,C,D,B,B
LACKLAND ISD,18.3,82,78,90,93,92,A,A,B,C,A
FT SAM HOUSTON ISD,27.1,85,85,100,93,95,A,A,B,B,A
NORTHSIDE ISD,49.5,79,86,88,87,87,B,B,C,B,B
JUDSON ISD,67.5,69,86,77,77,83,B,C,D,B,C
SOUTHSIDE ISD,82.3,59,81,71,73,78,C,C,F,B,C
JOHNSON CITY ISD,39.4,87,85,89,89,89,B,B,B,B,B
BLANCO ISD,45.2,84,91,97,92,94,A,A,B,A,A
BORDEN COUNTY ISD,24.3,81,88,89,96,94,A,A,B,B,B
CLIFTON ISD,58.2,60,92,75,90,87,B,A,D,A,C
MERIDIAN ISD,63.5,69,90,75,87,86,B,B,D,A,C
MORGAN ISD,76,79,72,71,74,77,C,C,C,C,C
VALLEY MILLS ISD,58.6,80,81,80,83,82,B,B,B,B,B
WALNUT SPRINGS ISD,85.6,63,85,73,82,81,B,B,D,B,C
IREDELL ISD,60.3,63,81,77,83,81,B,B,D,B,C
KOPPERL ISD,75.1,58,76,74,76,75,C,C,F,C,C
CRANFILLS GAP ISD,69.2,83,71,47,71,72,C,C,B,C,F
DEKALB ISD,66.3,60,91,73,85,84,B,B,D,A,C
HOOKS ISD,60.9,73,91,83,90,89,B,A,C,A,B
MAUD ISD,62.7,76,85,79,86,84,B,B,C,B,C
NEW BOSTON ISD,72.5,58,89,78,86,86,B,B,F,B,C
REDWATER ISD,45.2,79,92,85,92,90,A,A,C,A,B
TEXARKANA ISD,69.5,69,91,81,86,87,B,B,D,A,B
LIBERTY-EYLAU ISD,80.4,58,88,71,77,83,B,C,F,B,C
SIMMS ISD,57,76,91,85,89,89,B,B,C,A,B
MALTA ISD,45,85,88,100,91,94,A,A,B,B,A
RED LICK ISD,10.4,89,84,99,93,95,A,A,B,B,A
PLEASANT GROVE ISD,34.3,69,92,89,94,93,A,A,D,A,B
HUBBARD ISD,66.4,69,57,35,58,59,F,F,D,F,F
LEARY ISD,78.2,59,62,51,60,59,F,D,F,D,F
ALVIN ISD,51.7,79,90,89,89,89,B,B,C,A,B
ANGLETON ISD,62,60,84,82,85,84,B,B,D,B,B
DANBURY ISD,38.4,58,80,86,89,88,B,B,F,B,B
BRAZOSPORT ISD,61.7,79,90,82,83,88,B,B,C,A,B
SWEENY ISD,51.4,59,89,77,87,85,B,B,F,B,C
COLUMBIA-BRAZORIA ISD,50.6,69,83,73,82,80,B,B,D,B,C
PEARLAND ISD,31.4,90,91,89,93,89,B,A,A,A,B
DAMON ISD,90.4,58,60,30,55,51,F,F,F,D,F
BRAZOS SCHOOL FOR INQUIRY & CREATI,96.4,65,69,62,56,67,D,F,D,D,D
ARROW ACADEMY,83,73,89,76,76,85,B,C,C,B,C
COLLEGE STATION ISD,35.1,84,90,89,89,89,B,B,B,A,B
BRYAN ISD,76.8,69,82,73,73,79,C,C,D,B,C
TERLINGUA CSD,73.3,79,71,65,74,75,C,C,C,C,D
ALPINE ISD,48.9,89,87,95,89,91,A,B,B,B,A
