TEA ID,DISTNAME,CAMPNAME,COUNTY,CFLCHART,2018_col_cred,2018_col_cred_perc,2018_ind_cert,2018_ind_cert_perc,2018_assoc_deg,2018_assoc_deg_per,2018_milt_enl,2018_milt_enl_perc
001902001,CAYUGA ISD,CAYUGA H S,'001,N,18,46.2,0,0,0,0,4,10.3
001903001,ELKHART ISD,ELKHART H S,'001,N,23,31.1,8,10.8,0,0,7,9.5
001904001,FRANKSTON ISD,FRANKSTON H S,'001,N,24,41.4,7,12.1,0,0,1,1.7
001906002,NECHES ISD,NECHES H S,'001,N,12,54.5,0,0,0,0,0,0
001907001,PALESTINE ISD,PALESTINE H S,'001,N,78,36.1,39,18.1,12,5.6,6,2.8
001908002,WESTWOOD ISD,WESTWOOD H S,'001,N,33,32.7,0,0,0,0,7,6.9
001909001,SLOCUM ISD,SLOCUM H S,'001,N,14,51.9,0,0,0,0,2,7.4
002901001,ANDREWS ISD,ANDREWS H S,'002,N,64,32.5,12,6.1,0,0,5,2.5
002901002,ANDREWS ISD,ANDREWS EDUCATION CENTER,'002,N,1,3.2,0,0,0,0,1,3.2
003801001,PINEYWOODS COMMUNITY ACADEMY,PINEYWOODS COMMUNITY ACADEMY H S,'003,Y,26,57.8,4,8.9,21,46.7,0,0
003902001,HUDSON ISD,HUDSON H S,'003,N,92,48.4,54,28.4,0,0,10,5.3
003902004,HUDSON ISD,STUBBLEFIELD LRN CTR,'003,N,0,0,0,0,0,0,0,0
003903001,LUFKIN ISD,LUFKIN H S,'003,N,124,25.2,5,1,0,0,25,5.1
003903004,LUFKIN ISD,STUBBLEFIELD LRN CTR,'003,N,0,0,0,0,0,0,0,0
003904001,HUNTINGTON ISD,HUNTINGTON H S,'003,N,59,49.2,15,12.5,0,0,17,14.2
003904005,HUNTINGTON ISD,PRIDE ALTER SCH,'003,N,0,0,0,0,0,0,1,3.7
003905001,DIBOLL ISD,DIBOLL H S,'003,N,39,33.6,15,12.9,0,0,4,3.4
003905004,DIBOLL ISD,STUBBLEFIELD LRN CTR,'003,N,0,0,0,0,0,0,0,0
003906001,ZAVALLA ISD,ZAVALLA H S,'003,N,7,25.9,2,7.4,0,0,2,7.4
003907001,CENTRAL ISD,CENTRAL H S,'003,N,18,17.5,7,6.8,0,0,3,2.9
003907004,CENTRAL ISD,STUBBLEFIELD LRN CTR,'003,N,0,0,0,0,0,0,0,0
004901001,ARANSAS COUNTY ISD,ROCKPORT-FULTON H S,'004,N,30,14.3,43,20.5,0,0,14,6.7
005901001,ARCHER CITY ISD,ARCHER CITY H S,'005,N,18,56.3,0,0,0,0,3,9.4
005902001,HOLLIDAY ISD,HOLLIDAY H S,'005,N,23,33.8,0,0,0,0,2,2.9
005904001,WINDTHORST ISD,WINDTHORST H S,'005,N,15,38.5,5,12.8,0,0,2,5.1
006902001,CLAUDE ISD,CLAUDE H S,'006,N,14,58.3,0,0,0,0,1,4.2
007901001,CHARLOTTE ISD,CHARLOTTE H S,'007,N,9,23.1,1,2.6,0,0,8,20.5
007902001,JOURDANTON ISD,JOURDANTON H S,'007,N,25,26.6,0,0,0,0,14,14.9
007904001,LYTLE ISD,LYTLE H S,'007,N,16,15.1,0,0,0,0,8,7.5
007905001,PLEASANTON ISD,PLEASANTON H S,'007,N,58,27.2,38,17.8,0,0,7,3.3
007905005,PLEASANTON ISD,PLEASANTON ISD SCHOOL OF CHOICE,'007,N,1,4,0,0,0,0,0,0
007906001,POTEET ISD,POTEET H S,'007,N,47,40.5,3,2.6,19,16.4,8,6.9
008901001,BELLVILLE ISD,BELLVILLE H S,'008,N,52,34.2,0,0,0,0,3,2
