DISTRICT,CAMPUS,GRDSPAN,CAMPNAME,DISTNAME,CPETALLC,CPETECOP,CFLCHART,CD2AS,CD2BS,CD3S,CD1S,CDALLS,C_RATING,CD1G,CD2AG,CD2BG,CD3G
001902,001902001,09 - 12,CAYUGA H S,CAYUGA ISD,179,39.1,N,90,88,100,93,95,A,A,A,B,A
001902,001902041,06 - 08,CAYUGA MIDDLE,CAYUGA ISD,119,35.3,N,72,79,79,85,83,B,B,C,C,C
001902,001902103,PK - 05,CAYUGA EL,CAYUGA ISD,266,48.1,N,82,87,94,90,91,A,A,B,B,A
001903,001903001,09 - 12,ELKHART H S,ELKHART ISD,376,49.7,N,85,86,83,91,89,B,A,B,B,B
001903,001903002,08 - 10,ELKHART DAEP,ELKHART ISD,2,100,N,.,.,.,.,.,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated
001903,001903041,06 - 08,ELKHART MIDDLE,ELKHART ISD,261,56.7,N,77,87,85,84,86,B,B,C,B,B
001903,001903101,PK - 02,ELKHART EL,ELKHART ISD,338,69.8,N,.,.,.,.,92,A,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus
001903,001903102,03 - 05,ELKHART INT,ELKHART ISD,277,56,N,91,86,94,88,92,A,B,A,B,A
001904,001904001,09 - 12,FRANKSTON H S,FRANKSTON ISD,228,43.4,N,80,85,79,89,86,B,B,B,B,C
001904,001904041,06 - 08,FRANKSTON MIDDLE,FRANKSTON ISD,194,50.5,N,74,86,80,85,84,B,B,C,B,B
001904,001904102,EE - 05,FRANKSTON EL,FRANKSTON ISD,381,61.4,N,60,82,70,78,78,C,C,D,B,C
001906,001906002,09 - 12,NECHES H S,NECHES ISD,107,37.4,N,93,91,.,96,96,A,A,A,A,Not Rated
001906,001906102,PK - 08,NECHES EL,NECHES ISD,259,52.1,N,70,79,73,78,77,C,C,C,C,C
001907,001907001,09 - 12,PALESTINE H S,PALESTINE ISD,984,64.4,N,84,87,80,87,85,B,B,B,B,B
001907,001907041,07 - 08,PALESTINE J H,PALESTINE ISD,519,74,N,86,83,82,75,85,B,C,B,B,B
001907,001907101,KG - 01,NORTHSIDE PRI,PALESTINE ISD,494,79.6,N,.,.,.,.,82,B,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus
001907,001907102,EE - PK,WASHINGTON EARLY CHILDHOOD CENTER,PALESTINE ISD,174,100,N,.,.,.,.,82,B,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus
001907,001907107,02 - 03,SOUTHSIDE EL,PALESTINE ISD,462,77.5,N,.,84,78,77,82,B,C,Not Rated,B,C
001907,001907110,04 - 06,STORY INT,PALESTINE ISD,756,79,N,62,70,60,67,67,D,D,D,C,D
001908,001908002,09 - 12,WESTWOOD H S,WESTWOOD ISD,418,44.7,N,69,81,77,85,83,B,B,D,B,C
001908,001908041,07 - 08,WESTWOOD J H,WESTWOOD ISD,237,57,N,79,63,75,70,78,C,C,C,D,C
001908,001908101,02 - 06,WESTWOOD EL,WESTWOOD ISD,447,67.8,N,59,59,48,62,58,F,D,F,F,F
001908,001908102,EE - 02,WESTWOOD PRI,WESTWOOD ISD,416,74,N,.,.,.,.,58,F,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus
001909,001909001,09 - 12,SLOCUM H S,SLOCUM ISD,115,42.6,N,56,89,85,93,91,A,A,F,B,B
001909,001909101,PK - 08,SLOCUM PK - 8,SLOCUM ISD,291,47.1,N,80,81,79,83,82,B,B,B,B,C
002901,002901001,08 - 12,ANDREWS H S,ANDREWS ISD,1143,36,N,80,77,77,85,83,B,B,B,C,C
002901,002901002,09 - 12,ANDREWS EDUCATION CENTER,ANDREWS ISD,41,56.1,N,.,.,.,74,74,C,C,Not Rated,Not Rated,Not Rated
002901,002901041,06 - 08,ANDREWS MIDDLE,ANDREWS ISD,1026,39.9,N,69,58,60,74,70,C,C,D,F,D
002901,002901101,02 - 03,DEVONIAN EL,ANDREWS ISD,609,41.7,N,.,72,77,78,78,C,C,Not Rated,C,C
002901,002901104,04 - 05,UNDERWOOD EL,ANDREWS ISD,674,41.1,N,67,58,60,72,68,D,C,D,F,D
002901,002901105,EE - 01,CLEARFORK EL,ANDREWS ISD,821,47.7,N,.,.,.,.,78,C,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus,Not Rated: Paired Campus
